,Date,Open,High,Low,Close,Volume,Date,cpi,unemployment,consumer_confidence,interest_rate
71,2021-01-01,354.45717937241454,364.4115683407257,344.5500296180565,349.5083312988281,1402265400,2021-01-01,261.582,6.4,79.0,0.09
72,2021-02-01,352.95547676208304,372.26925120483895,349.8010563511519,359.2265319824219,1307806200,2021-02-01,263.014,6.2,76.8,0.08
73,2021-03-01,364.16597607033805,375.99978731793135,351.21773449879214,374.3092346191406,2401715800,2021-03-01,264.877,6.1,84.9,0.07
74,2021-04-01,377.49659571535625,398.645508642859,377.28813760004255,395.4049377441406,1462106600,2021-04-01,267.054,6.1,88.3,0.07
75,2021-05-01,397.42315038696034,400.63529621574327,382.8027455357581,398.00115966796875,1547235900,2021-05-01,269.195,5.8,82.9,0.06
76,2021-06-01,400.39840298403556,406.28256565072013,392.9413345177535,405.600341796875,1282152400,2021-06-01,271.696,5.9,85.5,0.08
77,2021-07-01,407.69728843639,419.98894561324136,401.1379375052164,416.86138916015625,1422104700,2021-07-01,273.003,5.4,81.2,0.1
78,2021-08-01,418.60106446091237,430.702613704209,414.5703962495893,429.26715087890625,1254001400,2021-08-01,273.567,5.1,70.3,0.09
79,2021-09-01,430.21775099264846,431.63418251795315,407.61173709697164,407.9539794921875,1745559600,2021-09-01,274.31,4.7,72.8,0.08
80,2021-10-01,411.01572724212133,438.2718033155484,406.609715019409,437.9761657714844,1508665200,2021-10-01,276.589,4.5,71.7,0.08
81,2021-11-01,438.97751195703876,451.60421524204094,434.2091269516227,434.45709228515625,1335351500,2021-11-01,277.948,4.2,67.4,0.08
82,2021-12-01,440.2554791088328,456.8112984177262,428.12470609525354,452.95843505859375,1927433900,2021-12-01,278.802,3.9,70.6,0.08
83,2022-01-01,455.8322049860296,459.35408852501865,402.678916516738,430.5762634277344,2485167800,2022-01-01,281.148,4.0,67.2,0.08
84,2022-02-01,431.3131057401219,438.4333920005895,392.99374930673406,417.86688232421875,2297975100,2022-02-01,283.716,3.8,62.8,0.08
85,2022-03-01,416.3452411408166,442.2136926366755,397.2812409771581,432.2319030761719,2380929500,2022-03-01,287.504,3.7,59.4,0.2
