,Date,Open,High,Low,Close,Volume,Date.1,cpi,unemployment,consumer_confidence,interest_rate,log_returns,range,volatility,volume_ma
67,2020-09-01,328.0347000401926,336.03395537192824,299.5502573546081,313.6847839355469,1814712700,2020-09-01,260.28,7.8,80.4,0.09,-0.04215775697694735,36.48369801732014,0.07089445909505757,2049262708.3333333
68,2020-10-01,317.57370651902085,332.93091083560427,303.3826258422576,307.0879211425781,1629016100,2020-10-01,260.388,6.9,81.8,0.09,-0.021254514201201502,29.54828499334667,0.07132890473219604,2069451691.6666667
69,2020-11-01,310.5298696674336,342.67374694927145,307.7461773494412,340.491943359375,1535244300,2020-11-01,260.229,6.7,76.9,0.09,0.10325736943115871,34.927569599830235,0.076237457080622,2110961758.3333333
70,2020-12-01,343.79282119169955,355.9149425930162,340.46369270654446,351.6077880859375,1344541500,2020-12-01,260.474,6.7,80.7,0.09,0.03212485187708225,15.451249886471714,0.07637935497243742,2115908900.0
71,2021-01-01,354.4570865233432,364.41147288412986,344.54993936413547,349.5082397460937,1402265400,2021-01-01,261.582,6.4,79.0,0.09,-0.005989178773385007,19.861533519994396,0.07655878376455726,2116764033.3333333
72,2021-02-01,352.9554467772535,372.2692195792352,349.8010266343016,359.2265014648437,1307806200,2021-02-01,263.014,6.2,76.8,0.08,0.02742597563286342,22.468192944933605,0.0703978092420174,2049896641.6666667
73,2021-03-01,364.1659760703381,375.99978731793135,351.21773449879214,374.3092346191406,2401715800,2021-03-01,264.877,6.1,84.9,0.07,0.0411291734706829,24.78205281913921,0.048651332896601195,1756204825.0
74,2021-04-01,377.49656657995416,398.6454778751718,377.28810848072936,395.4049072265625,1462106600,2021-04-01,267.054,6.1,88.3,0.07,0.05482803513906731,21.357369394442458,0.04065291464915325,1643104350.0
75,2021-05-01,397.4231808602184,400.63532693529936,382.80277488796577,398.0011901855469,1547235900,2021-05-01,269.195,5.8,82.9,0.06,0.006544674245913207,17.832552047333593,0.04094733229046997,1612835633.3333333
76,2021-06-01,400.3984331102171,406.2825962196291,392.94136408286136,405.6003723144531,1282152400,2021-06-01,271.696,5.9,85.5,0.08,0.018913374515681092,13.341232136767758,0.0407898001864049,1523125458.3333333
