observation_date,CORESTICKM157SFRBATL
01-05-11,0.11055
01-06-11,0.13705
01-07-11,0.19869
01-08-11,0.27787
01-09-11,0.13533
01-10-11,0.17145
01-11-11,0.15054
01-12-11,0.25678
01-01-12,0.24273
01-02-12,0.09958
01-03-12,0.21711
01-04-12,0.1726
01-05-12,0.10703
01-06-12,0.18675
01-07-12,0.21981
01-08-12,0.1902
01-09-12,0.18255
01-10-12,0.15897
01-11-12,0.1399
01-12-12,0.16992
01-01-13,0.20229
01-02-13,0.17583
01-03-13,0.17123
01-04-13,0.01104
01-05-13,0.08031
01-06-13,0.15627
01-07-13,0.2112
01-08-13,0.23588
01-09-13,0.15941
01-10-13,0.13783
01-11-13,0.16375
01-12-13,0.15165
01-01-14,0.15268
01-02-14,0.14362
01-03-14,0.20296
01-04-14,0.21169
01-05-14,0.18016
01-06-14,0.17119
01-07-14,0.16764
01-08-14,0.09912
01-09-14,0.15072
01-10-14,0.18821
01-11-14,0.16148
01-12-14,0.11442
01-01-15,0.16755
01-02-15,0.13984
01-03-15,0.21975
01-04-15,0.27467
01-05-15,0.18296
01-06-15,0.21749
01-07-15,0.19387
01-08-15,0.13708
01-09-15,0.24809
01-10-15,0.25381
01-11-15,0.21935
01-12-15,0.15634
01-01-16,0.19041
01-02-16,0.21547
01-03-16,0.20798
01-04-16,0.27977
01-05-16,0.21642
01-06-16,0.21548
01-07-16,0.19976
01-08-16,0.28029
01-09-16,0.15874
01-10-16,0.13411
01-11-16,0.23529
01-12-16,0.22152
01-01-17,0.25532
01-02-17,0.22799
01-03-17,-0.01454
01-04-17,0.08309
01-05-17,0.12228
01-06-17,0.19829
01-07-17,0.20925
01-08-17,0.22459
01-09-17,0.17474
01-10-17,0.21868
01-11-17,0.15899
01-12-17,0.23858
01-01-18,0.29521
01-02-18,0.19392
01-03-18,0.22418
01-04-18,0.20498
01-05-18,0.17271
01-06-18,0.20678
01-07-18,0.17686
01-08-18,0.14021
01-09-18,0.20451
01-10-18,0.17208
01-11-18,0.21882
01-12-18,0.21878
01-01-19,0.2158
01-02-19,0.19479
01-03-19,0.20558
01-04-19,0.24005
01-05-19,0.14153
01-06-19,0.2378
01-07-19,0.25838
01-08-19,0.29117
01-09-19,0.19722
01-10-19,0.29376
01-11-19,0.24264
01-12-19,0.19985
01-01-20,0.25274
01-02-20,0.20416
01-03-20,0.01692
01-04-20,-0.17733
01-05-20,-0.02036
01-06-20,0.21756
01-07-20,0.54123
01-08-20,0.22436
01-09-20,-0.03105
01-10-20,0.06463
01-11-20,0.19366
01-12-20,0.10437
01-01-21,0.0553
01-02-21,0.20867
01-03-21,0.2016
01-04-21,0.42895
01-05-21,0.32536
01-06-21,0.21299
01-07-21,0.31129
01-08-21,0.233
01-09-21,0.24076
01-10-21,0.45173
01-11-21,0.36561
01-12-21,0.36832
01-01-22,0.5476
01-02-22,0.5121
01-03-22,0.4457
01-04-22,0.59188
01-05-22,0.56207
01-06-22,0.63824
01-07-22,0.49631
01-08-22,0.57529
01-09-22,0.61609
01-10-22,0.4186
01-11-22,0.46908
01-12-22,0.47737
01-01-23,0.49984
01-02-23,0.54744
01-03-23,0.3193
01-04-23,0.47207
01-05-23,0.28861
01-06-23,0.26924
01-07-23,0.3241
01-08-23,0.35246
01-09-23,0.41284
01-10-23,0.34508
01-11-23,0.28263
01-12-23,0.34886
01-01-24,0.547440629
01-02-24,0.35440817
01-03-24,0.421257876
01-04-24,0.378987263
01-05-24,0.182595768
01-06-24,0.196998147
01-07-24,0.264495867
01-08-24,0.29345823
01-09-24,0.32329557
01-10-24,0.301261595
01-11-24,0.194946164
01-12-24,0.228540553
